Uuid,Void/Retire,Role name,Description,Privileges,Inherited roles
${var.role.records-officer.uuid},,Records Officer,Registration and medical records,Get Patients;Add Patients;Edit Patients;Get Patient Identifiers;Add Patient Identifiers;Get Visits;Add Visits;Get Locations;Get Concepts,
${var.role.nurse.uuid},,Nurse,Triage and vitals,Get Patients;Get Visits;Add Visits;Get Encounters;Add Encounters;Edit Encounters;Get Observations;Add Observations;Get Concepts;Get Forms,
${var.role.clinician.uuid},,Clinician,Clinical consultation and ordering,Get Orders;Add Orders;Edit Orders;Get Order Types;Get Care Settings;Get Patient Programs;Add Patient Programs;Edit Patient Programs;Get Diagnoses;Edit Diagnoses,Nurse
${var.role.midwife.uuid},,Midwife,Maternal health clinical care,Get Patient Programs;Add Patient Programs;Edit Patient Programs,Nurse
${var.role.pharmacist.uuid},,Pharmacist,Dispensing and stock,Get Orders;Get Medication Dispense;Edit Medication Dispense;Get Concepts;Get Patients,
${var.role.lab-technician.uuid},,Lab Technician,Laboratory order fulfilment,Get Orders;Edit Orders;Get Encounters;Add Encounters;Get Observations;Add Observations;Get Concepts;Get Patients,
${var.role.a-role-that-has-all-api-privileges.uuid},,Privilege Level: Full,A role that has all API privileges,Manage Concept Classes; Delete Patient Identifiers; Configure Visits; Preview Forms; Manage Privileges; Get Order Sets; View Navigation Menu; Delete Cohorts; Manage Forms; Delete Patient Programs; Manage Field Types; Add Observations; View Encounters; View Problems; Delete HL7 Inbound Exception; Update HL7 Source; View Metadata Via Mapping; Delete HL7 Inbound Archive; Add Concept Proposals; Add Patient Identifiers; View Locations; Patient Dashboard - View Encounters Section; Manage FormEntry XSN; Purge Field Types; Manage Order Set Attribute Types; Edit Concept Proposals; View Data Entry Statistics; Edit Problems; Manage Modules; Add Relationships; Manage Concept Attribute Types; Add Visits; Add Patients; Patient Dashboard - View Graphs Section; Patient Dashboard - View Demographics Section; Add Orders; Delete Encounters; Manage Address Templates; Delete Relationships; Manage HL7 Messages; Get Notes; Edit Diagnoses; Upload XSN; View Unpublished Forms; Manage Programs; View Patients; Get Conditions; Add Problems; View Programs; Patient Dashboard - View Overview Section; Manage Concept Stop Words; Manage Roles; View Concept Classes; Manage Address Hierarchy; View Observations; Manage Identifier Sources; Manage RESTWS; Get Visit Types; Get HL7 Inbound Exception; View Concept Sources; Get Visit Attribute Types; Get Visits; Get Providers; Get Location Attribute Types; Get Encounter Roles; Manage OWA; Get HL7 Source; Add HL7 Inbound Archive; Get HL7 Inbound Archive; Delete Orders; Get HL7 Inbound Queue; Assign System Developer Role; View RESTWS; Edit Patient Programs; Manage Location Attribute Types; Remove Problems; Add Patient Programs; Edit Cohorts; Manage Concept Map Types; Edit Users; Patient Dashboard - View Patient Summary; Get Concept Attribute Types; Add HL7 Inbound Queue; Get Concept Datatypes; Get Concept Classes; Get Roles; Manage Scheduler; Get Privileges; Get Order Types; Delete Observations; Get Field Types; Get Concept Sources; Get Relationship Types; Update HL7 Inbound Archive; Update HL7 Inbound Queue; Get Identifier Types; Edit People; Delete People; Edit Patient Identifiers; View Orders; Get Forms; Get Orders; View Administration Functions; Manage Global Properties; View Patient Identifiers; Get Global Properties; Get Patient Programs; Get People; Get Person Attribute Types; Get Database Changes; Get Relationships; Get Allergies; Edit Orders; Get Problems; View Allergies; Manage Implementation Id; Get Programs; Get Concept Reference Terms; Get Order Frequencies; View Concept Proposals; Manage Encounter Types; View Roles; Get Concept Map Types; Add Allergies; Patient Dashboard - View Forms Section; Add HL7 Inbound Exception; Delete HL7 Inbound Queue; View People; Edit Allergies; Manage Location Tags; Manage Concept Reference Terms; Delete Diagnoses; Manage Person Attribute Types; Patient Overview - View Relationships; Patient Overview - View Programs; Patient Overview - View Problem List; Patient Overview - View Allergies; Manage Order Types; Get Encounters; Get Users; Get Locations; Manage Alerts; Get Encounter Types; Get Patients; View Identifier Types; Get Observations; Edit Observations; Get Patient Cohorts; Manage Providers; Get Patient Identifiers; Delete Users; Manage Locations; Manage Concept Name tags; Manage Metadata Mapping; View Forms; Edit Conditions; Add HL7 Source; Add Users; Get Concepts; View Relationship Types; Edit Notes; Get Concept Proposals; Manage Search Index; View Relationships; Manage Relationships; Generate Batch of Identifiers; View Patient Programs; Edit User Passwords; View Person Attribute Types; View Patient Cohorts; Add Encounters; Upload Batch of Identifiers; View Field Types; View Encounter Types; Manage Identifier Types; Remove Allergies; Update HL7 Inbound Exception; View Order Types; Get Diagnoses Attribute Types; Patient Overview - View Patient Actions; Patient Dashboard - View Regimen Section; Add Cohorts; Delete Visits; Manage Order Frequencies; Edit Relationships; Manage Auto Generation Options; Manage Concepts; Manage Concept Datatypes; Add People; Manage Encounter Roles; View Privileges; Delete Patients; Delete Concept Proposals; Manage Visit Types; Delete Conditions; View Concept Datatypes; Edit Patients; Delete Notes; Edit Encounters; View Concepts; Manage Visit Attribute Types; Form Entry; View Global Properties; Get Care Settings; Manage Concept Sources; Manage Order Sets; Get Order Set Attribute Types; Manage Relationship Types; Get Diagnoses; Edit Visits; View Users; Share Metadata; View OrderTemplates; Get Queues; Get Queue Entries,
${var.role.a-role-that-has-all-api-privileges-except-administrative-privileges-with-security-implications.uuid},,Privilege Level: High,A role that has all API privileges except administrative privileges with security implications,Manage Concept Classes; Delete Patient Identifiers; Configure Visits; Preview Forms; Get Order Sets; View Navigation Menu; Delete Cohorts; Manage Forms; Delete Patient Programs; Manage Field Types; Add Observations; View Encounters; View Problems; Delete HL7 Inbound Exception; Update HL7 Source; View Metadata Via Mapping; Delete HL7 Inbound Archive; Add Concept Proposals; Add Patient Identifiers; View Locations; Patient Dashboard - View Encounters Section; Manage FormEntry XSN; Purge Field Types; Manage Order Set Attribute Types; Edit Concept Proposals; View Data Entry Statistics; Edit Problems; Manage Modules; Add Relationships; Manage Concept Attribute Types; Add Visits; Add Patients; Patient Dashboard - View Graphs Section; Patient Dashboard - View Demographics Section; Add Orders; Delete Encounters; Manage Address Templates; Delete Relationships; Manage HL7 Messages; Get Notes; Edit Diagnoses; Upload XSN; View Unpublished Forms; Manage Programs; View Patients; Get Conditions; Add Problems; View Programs; Patient Dashboard - View Overview Section; Manage Concept Stop Words; Manage Roles; View Concept Classes; Manage Address Hierarchy; View Observations; Manage Identifier Sources; Manage RESTWS; Get Visit Types; Get HL7 Inbound Exception; View Concept Sources; Get Visit Attribute Types; Get Visits; Get Providers; Get Location Attribute Types; Get Encounter Roles; Manage OWA; Get HL7 Source; Add HL7 Inbound Archive; Get HL7 Inbound Archive; Delete Orders; Get HL7 Inbound Queue; Assign System Developer Role; View RESTWS; Edit Patient Programs; Manage Location Attribute Types; Remove Problems; Add Patient Programs; Edit Cohorts; Manage Concept Map Types; Edit Users; Patient Dashboard - View Patient Summary; Get Concept Attribute Types; Add HL7 Inbound Queue; Get Concept Datatypes; Get Concept Classes; Get Roles; Manage Scheduler; Get Privileges; Get Order Types; Delete Observations; Get Field Types; Get Concept Sources; Get Relationship Types; Update HL7 Inbound Archive; Update HL7 Inbound Queue; Get Identifier Types; Edit People; Delete People; Edit Patient Identifiers; View Orders; Get Forms; Get Orders; View Administration Functions; Manage Global Properties; View Patient Identifiers; Get Global Properties; Get Patient Programs; Get People; Get Person Attribute Types; Get Database Changes; Get Relationships; Get Allergies; Edit Orders; Get Problems; View Allergies; Manage Implementation Id; Get Programs; Get Concept Reference Terms; Get Order Frequencies; View Concept Proposals; Manage Encounter Types; View Roles; Get Concept Map Types; Add Allergies; Patient Dashboard - View Forms Section; Add HL7 Inbound Exception; Delete HL7 Inbound Queue; View People; Edit Allergies; Manage Location Tags; Manage Concept Reference Terms; Delete Diagnoses; Manage Person Attribute Types; Patient Overview - View Relationships; Patient Overview - View Programs; Patient Overview - View Problem List; Patient Overview - View Allergies; Manage Order Types; Get Encounters; Get Users; Get Locations; Manage Alerts; Get Encounter Types; Get Patients; View Identifier Types; Get Observations; Edit Observations; Get Patient Cohorts; Manage Providers; Get Patient Identifiers; Delete Users; Manage Locations; Manage Concept Name tags; Manage Metadata Mapping; View Forms; Edit Conditions; Add HL7 Source; Add Users; Get Concepts; View Relationship Types; Edit Notes; Get Concept Proposals; Manage Search Index; View Relationships; Manage Relationships; Generate Batch of Identifiers; View Patient Programs; Edit User Passwords; View Person Attribute Types; View Patient Cohorts; Add Encounters; Upload Batch of Identifiers; View Field Types; View Encounter Types; Manage Identifier Types; Remove Allergies; Update HL7 Inbound Exception; View Order Types; Get Diagnoses Attribute Types; Patient Overview - View Patient Actions; Patient Dashboard - View Regimen Section; Add Cohorts; Delete Visits; Manage Order Frequencies; Edit Relationships; Manage Auto Generation Options; Manage Concepts; Manage Concept Datatypes; Add People; Manage Encounter Roles; View Privileges; Delete Patients; Delete Concept Proposals; Manage Visit Types; Delete Conditions; View Concept Datatypes; Edit Patients; Delete Notes; Edit Encounters; View Concepts; Manage Visit Attribute Types; Form Entry; View Global Properties; Get Care Settings; Manage Concept Sources; Manage Order Sets; Get Order Set Attribute Types; Manage Relationship Types; Get Diagnoses; Edit Visits; View Users; View OrderTemplates; Get Queues; Get Queue Entries,
${var.role.administers-system.uuid},,Application: Administers System,Administers system,,Privilege Level: High
${var.role.manages-forms-and-attaches-them-to-the-ui.uuid},,Application: Configures Forms,Manages forms and attaches them to the UI,,Privilege Level: High
