Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,_order:1000
${var.encountertypes.adult-visit.uuid},,Adult Visit,Encounter for adult visit form,,,,
${var.encountertypes.consultation.uuid},,Consultation,Consultation encounter,,,,
${var.encountertypes.check-in.uuid},,Check In,Indicates the patient has done the required paperwork and check-in to begin a visit to the clinic/hospital.,,,
${var.encountertypes.vitals.uuid},,Vitals,For capturing vital signs,,,
${var.encountertypes.admission.uuid},,Admission,"Indicates that the patient has been admitted for inpatient care, and is not expected to leave the hospital unless discharged.",,,
${var.encountertypes.discharge.uuid},,Discharge,"Indicates that a patient's inpatient care at the hospital is ending, and they are expected to leave soon.",,,
${var.encountertypes.visit-note.uuid},,Visit Note,"Encounter where a full or abbreviated examination is done, usually leading to a presumptive or confirmed diagnosis, recorded by the examining clinician.",,,
${var.encountertypes.check-out.uuid},,Check Out,The patient is explicitly leaving the hospital/clinic. (Usually no formal encounter is captured for this.),,,
${var.encountertypes.intra-hospital-transfer.uuid},,Intra-Hospital Transfer,Indicates that a patient is being transferred into a different department within the hospital. (Transfers out of the hospital should not use this encounter type.),,,
${var.encountertypes.attachment-upload.uuid},,Attachment Upload,Encounters used to record uploads of attachments.,,,
${var.encountertypes.lab-results.uuid},,Lab Results,Encounter for capturing lab results,,,
${var.encountertypes.order.uuid},,Order,Encounter for capturing orders,,,
${var.encountertypes.immunizations.uuid},,Immunizations,Encounter for capturing immunizations,,,
${var.encountertypes.mental-health-assessment.uuid},,Mental Health Assessment,Mental Health Assessment,,,
${var.encountertypes.transfer.uuid},,Transfer,Indicates that a patient is being transferred into a different department within the hospital. (Transfers out of the hospital should not use this encounter type.),,,
${var.encountertypes.inpatient-note.uuid},,Inpatient Note,A short free-text note written by a clinician about an inpatient during their stay,,,
${var.encountertypes.transfer-request.uuid},,Transfer Request,A stand-alone encounter type for a transfer request not part of a larger note,,,
${var.encountertypes.bed-assignment.uuid},,Bed Assignment,Assigning a new bed to a patient without admitting or transferring them,,,
${var.encountertypes.cancel-adt.uuid},,Cancel ADT,An encounter that notes that a request to admit/transfer/discharge a patient is being overridden,,,
