Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:es,Short name:en,Short name:es,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1700
${var.concept.national.rash-nonvesicular-unspec.uuid},,,"Rash, nonvesicular, unspec.","Rash, nonvesicular, unspec.","Erupción no vesicular, no especificada","Erupción no vesicular, no especificada","Rash, nonvesicular, unspec.",Finding,N/A,,,,,,,,,,,
${var.concept.national.congestion.uuid},,,Congestion,Congestion,Congestión,Congestión,Congestion,Finding,N/A,,,,,,,,,,,
${var.concept.ciel.140238.uuid},,,Fever,Fever,Fever,Fever,Fever,Finding,N/A,,,,,,,,,,,
${var.concept.ciel.141600.uuid},,,Shortness of breath,Shortness of breath,Dificultad para respirar,Dificultad para respirar,Shortness of breath,Finding,N/A,,,,,,,,,,,
${var.concept.ciel.703.uuid},,,Positive,Positive,Positive,Positive,,Finding,N/A,,,,,,,,,,,
${var.concept.ciel.664.uuid},,,Negative,Negative,Negative,Negative,,Finding,N/A,,,,,,,,,,,
${var.concept.national.onset-date.uuid},,,Onset Date,Onset Date,Onset Date,Onset Date,,Finding,Date,,,,,,,,,,,
${var.concept.national.presence-of-symptoms.uuid},,,Presence of Symptoms,Presencia de síntomas,Presence of Symptoms,Presencia de síntomas,,Question,Coded,,Yes; No,,,,,,,,,
${var.concept.national.sneezing.uuid},,,Sneezing,Estornudos,Sneezing,Estornudos,,Finding,N/A,,,,,,,,,,,
${var.concept.national.sore-throat-or-pain-with-swallowing.uuid},,,Sore throat or pain with swallowing,Dolor de garganta o dolor al tragar,Sore throat or pain with swallowing,Dolor de garganta o dolor al tragar,,Finding,N/A,,,,,,,,,,,
${var.concept.ciel.135588.uuid},,,Loss of taste,Pérdida del gusto,Loss of taste,Pérdida del gusto,,Finding,N/A,,,,,,,,,,,
${var.concept.national.loss-of-smell.uuid},,,Loss of smell,Pérdida del olfato,Loss of smell,Pérdida del olfato,,Finding,N/A,,,,,,,,,,,
${var.concept.national.diarrhea-vomiting-or-abdominal-pain.uuid},,,"Diarrhea, Vomiting or Abdominal pain","Diarrea, vómitos o dolor abdominal","Diarrhea, Vomiting or Abdominal pain","Diarrea, vómitos o dolor abdominal",,Finding,N/A,,,,,,,,,,,
${var.concept.national.practicing-social-distancing.uuid},,,Practicing social distancing,Practicando el distanciamiento social,Practicing social distancing,Practicando el distanciamiento social,,Finding,N/A,,,,,,,,,,,
${var.concept.national.covid-19-signs-and-symptom-in-past-14-days.uuid},,,Covid 19 Signs and Symptom in past 14 days,Covid 19 signos y síntomas en los últimos 14 días,Covid 19 Signs and Symptom in past 14 days,Covid 19 signos y síntomas en los últimos 14 días,,Question,Coded,,"Congestion;Cough;Sneezing;Fever;Headache;Sore throat or pain with swallowing;Shortness of breath;Loss of taste;Loss of smell;Diarrhea, Vomiting or Abdominal pain;Practicing social distancing;Rash, nonvesicular, unspec.",,,,,,,,,
${var.concept.national.covid-19-signs-and-symptom-set.uuid},,,Covid 19 Signs and Symptom Set,Conjunto de signos y síntomas de Covid 19,Covid 19 Signs and Symptom,Covid 19 signos y síntomas,,ConvSet,N/A,,,Covid 19 Signs and Symptom in past 14 days;Date,,,,,,,,
${var.concept.national.tested-for-covid-19.uuid},,,Tested for COVID 19,Probado para COVID 19,Tested for COVID 19,Probado para COVID 19,,Question,Coded,,Yes;No,,,,,,,,,
${var.concept.national.respiratory-pcr.uuid},,,Respiratory PCR,PCR respiratoria,Respiratory PCR,PCR respiratoria,,Misc,N/A,,,,,,,,,,,
${var.concept.national.rapid-blood-test.uuid},,,Rapid blood test,Análisis de sangre rápido,Rapid blood test,Análisis de sangre rápido,,Misc,N/A,,,,,,,,,,,
${var.concept.national.elisa-blood-test.uuid},,,ELISA blood test,Análisis de sangre ELISA,ELISA blood test,Análisis de sangre ELISA,,Misc,N/A,,,,,,,,,,,
${var.concept.national.test-done.uuid},,,Test Done,Prueba realizada,Test Done,Prueba realizada,,Question,Coded,,Respiratory PCR;Rapid blood test;ELISA blood test,,,,,,,,,
${var.concept.national.test-results.uuid},,,Test Results,Resultados de la prueba,Test Results,Resultados de la prueba,,Question,Coded,,Positive; Negative,,,,,,,,,
${var.concept.national.covid-19-test-set.uuid},,,Covid 19 Test Set,Equipo de prueba Covid 19,Covid 19 Test,Prueba Covid 19,,ConvSet,N/A,,,Tested for COVID 19;Test Done;Test Results,,,,,,,,
